10,"No se ha podido acceder a la"
,"Conexión Wi-Fi de Nintendo."
,"Para obtener ayuda, consulta"
,"el manual de instrucciones"
,"o visita el sitio web"
,"support.nintendo.com."
11,"La Conexión Wi-Fi de Nintendo tiene un"
,"volumen de tráfico demasiado elevado o"
,"el servicio se ha interrumpido."
,"Vuelve a intentar conectarte más tarde."
,"Para obtener ayuda, visita el sitio web"
,"support.nintendo.com."
12,"El servicio de Conexión Wi-Fi de"
,"Nintendo ya no está disponible"
,"para este programa. Visita"
,"support.nintendo.com"
,"para ver la lista completa de"
,"programas actualmente"
,"compatibles con la"
,"Conexión Wi-Fi de Nintendo."
13,"No hay suficiente espacio libre"
,"en la memoria de la consola Wii."
,"Apaga la consola o vuelve al"
,"menú de Wii."
14,"La memoria de la consola"
,"Wii está dañada."
,"Consulta el manual de"
,"instrucciones de la consola"
,"Wii para obtener"
,"más información."
15,"No se ha podido establecer"
,"la conexión a internet."
,"Comprueba la configuración"
,"de internet de la consola Wii."
16,"Error de conexión."
,"Se ha interrumpido la"
,"comunicación con la"
,"Conexión Wi-Fi de Nintendo."
,"Vuelve a intentarlo."
,"Para obtener ayuda,"
,"visita el sitio web"
,"support.nintendo.com."
17,"Error de conexión."
,"Vuelve a intentarlo."
,"Para obtener ayuda,"
,"visita el sitio web"
,"support.nintendo.com."
18,"Se ha producido un error y"
,"no se puede usar"
,"la Conexión Wi-Fi de Nintendo."
,"Pulsa el Botón RESET"
,"y vuelve a intentarlo."
,"Para obtener ayuda,"
,"visita el sitio web"
,"support.nintendo.com."
19,"Error: {{N}}"
20,"ACEPTAR"
21,"El uso de la comunicación"
,"en línea está restringido."
,"Consulta los ajustes del"
,"control parental en las"
,"opciones de Wii."
22,"ACEPTAR"
