10,"Wi-Fiコネクションに"
,"接続できません。"
,"詳しくは取扱説明書を"
,"ご覧ください。"
11,"Wi-Fiコネクションが"
,"混み合っているか"
,"サービスが停止している"
,"ために接続できません。"
,"しばらく待って"
,"やり直してください。"
12,"このソフトのWi-Fi"
,"コネクションサービスは"
,"終了しました。"
,"ご利用ありがとう"
,"ございました。"
13,"Wii本体保存メモリの"
,"空き容量が"
,"不足しています。"
,"本体の電源をOFFに"
,"するか、Wiiメニューへ"
,"戻ってください。"
14,"Wii本体保存メモリが"
,"壊れました。詳しくは"
,"Wii本体の取扱説明書を"
,"お読みください。"
15,"インターネットに接続"
,"できません。"
,"Wii本体設定の"
,"インターネット設定を"
,"ご確認ください。"
16,"通信エラーによって"
,"インターネットから"
,"切断されました。"
17,"通信エラーが"
,"発生しました。"
18,"エラーが発生したため、"
,"Wi-Fiコネクションの"
,"機能を使用できません。"
,"リセットして"
,"やり直してください。"
19,"エラーコード：{{N}}"
20,"オッケー"
21,"ネットワーク機能の利用が制限されています。"
,"Wiiオプションのペアレンタルコントロールの設定を確認してください。"
22,"オッケー"
